ax,ay,az,gx,gy,gz,mx,my,mz
-0.020,0.021,9.830,-0.04,-0.01,-0.02,37,-69,25
-0.020,0.021,9.830,+0.02,-0.01,+0.10,34,-70,24
-0.020,0.021,9.830,-0.04,-0.01,-0.02,34,-70,24
0.057,0.021,9.830,-0.04,-0.07,+0.10,32,-74,28
0.057,0.021,9.830,+0.02,-0.07,-0.02,32,-74,28
0.057,0.097,9.830,+0.02,+0.06,-0.02,38,-72,28
0.057,0.021,9.830,-0.04,-0.07,-0.02,38,-72,28
0.057,0.021,9.830,+0.02,-0.01,-0.08,31,-73,27
0.057,0.021,9.830,-0.10,+0.12,+0.04,31,-73,27
0.057,0.021,9.830,-0.04,-0.07,+0.10,32,-70,30
-0.020,0.021,9.830,-0.04,-0.01,+0.10,32,-70,30
-0.020,0.021,9.830,+0.08,-0.01,-0.02,32,-76,28
-0.020,0.021,9.830,-0.04,-0.07,-0.02,32,-76,28
-0.020,0.021,9.830,-0.04,-0.01,-0.08,31,-73,27
-0.020,0.021,9.830,+0.08,-0.07,+0.04,31,-73,27
-0.020,0.021,9.830,+0.02,+0.06,+0.04,35,-71,31
-0.020,0.021,9.830,+0.02,-0.07,-0.02,35,-71,31
-0.020,0.021,9.830,-0.04,+0.12,-0.02,33,-67,31
-0.020,0.021,9.830,+0.02,+0.12,+0.04,33,-67,31
-0.020,0.021,9.830,+0.02,+0.06,+0.04,32,-70,32
-0.020,0.021,9.830,+0.08,-0.07,-0.02,32,-70,32
-0.020,0.021,9.830,+0.02,-0.01,-0.02,34,-74,28
-0.020,0.021,9.830,+0.02,+0.06,-0.08,34,-74,28
0.057,0.021,9.830,-0.04,-0.07,-0.02,36,-66,30
0.057,0.021,9.830,+0.08,+0.06,+0.04,36,-66,30
0.057,0.021,9.830,-0.04,-0.13,+0.04,33,-73,27
0.057,0.021,9.830,+0.02,-0.07,+0.04,33,-73,27
0.057,0.021,9.830,+0.08,-0.01,+0.10,32,-72,32
0.057,0.021,9.830,+0.02,+0.06,-0.08,32,-72,32
-0.020,0.021,9.830,-0.04,-0.01,+0.04,35,-67,25
-0.020,0.021,9.830,+0.02,-0.01,+0.04,35,-67,25
-0.020,0.021,9.830,-0.04,+0.24,-0.02,34,-68,28
